document_id,site_id,study_code,item,category,expected_capability,is_required,printed_as
survey_01_site_001_d0000c00010,SITE_001,D0000C00010,12-Lead ECG,PROCEDURE,CAN,TRUE,12 Lead ECG
survey_01_site_001_d0000c00010,SITE_001,D0000C00010,CT Scan,PROCEDURE,CAN,TRUE,CT scan
survey_01_site_001_d0000c00010,SITE_001,D0000C00010,Brain MRI,PROCEDURE,CAN,TRUE,MRI Brain
survey_01_site_001_d0000c00010,SITE_001,D0000C00010,FDG-PET,PROCEDURE,CAN,TRUE,FDG PET
survey_01_site_001_d0000c00010,SITE_001,D0000C00010,Local EGFR Mutation Testing,PROCEDURE,CAN,TRUE,Local EGFR Mutation Testing
survey_01_site_001_d0000c00010,SITE_001,D0000C00010,Plasma Sampling,PROCEDURE,CAN,TRUE,Plasma Sampling
survey_01_site_001_d0000c00010,SITE_001,D0000C00010,Centrifuge,EQUIPMENT,CAN,TRUE,Centrifuge
survey_01_site_001_d0000c00010,SITE_001,D0000C00010,-20C Freezer,EQUIPMENT,CAN,TRUE,-20 degree freezer
survey_01_site_001_d0000c00010,SITE_001,D0000C00010,Sample Shipping,EQUIPMENT,CAN,TRUE,Sample Shipping
survey_01_site_001_d0000c00010,SITE_001,D0000C00010,Drug/Device Storage,EQUIPMENT,CAN,TRUE,Drug/Device Storage
survey_01_site_001_d0000c00010,SITE_001,D0000C00010,Ultrasound,PROCEDURE,CAN,FALSE,Ultrasound
survey_01_site_001_d0000c00010,SITE_001,D0000C00010,X-Ray,PROCEDURE,CAN,FALSE,X-Ray
survey_01_site_001_d0000c00010,SITE_001,D0000C00010,Document Archive,EQUIPMENT,CAN,FALSE,Document Archive
survey_01_site_001_d0000c00010,SITE_001,D0000C00010,On-site Pharmacy,EQUIPMENT,CAN,FALSE,On-site Pharmacy
survey_01_site_001_d0000c00010,SITE_001,D0000C00010,Urinalysis,PROCEDURE,CAN,FALSE,Urinalysis
survey_02_site_002_d0000c00010,SITE_002,D0000C00010,12-Lead ECG,PROCEDURE,CAN,TRUE,12 Lead ECG
survey_02_site_002_d0000c00010,SITE_002,D0000C00010,CT Scan,PROCEDURE,CAN,TRUE,CT scan
survey_02_site_002_d0000c00010,SITE_002,D0000C00010,Brain MRI,PROCEDURE,CANNOT,TRUE,MRI Brain
survey_02_site_002_d0000c00010,SITE_002,D0000C00010,FDG-PET,PROCEDURE,CANNOT,TRUE,FDG PET
survey_02_site_002_d0000c00010,SITE_002,D0000C00010,Local EGFR Mutation Testing,PROCEDURE,CAN,TRUE,Local EGFR Mutation Testing
survey_02_site_002_d0000c00010,SITE_002,D0000C00010,Plasma Sampling,PROCEDURE,CAN,TRUE,Plasma Sampling
survey_02_site_002_d0000c00010,SITE_002,D0000C00010,Centrifuge,EQUIPMENT,CAN,TRUE,Centrifuge
survey_02_site_002_d0000c00010,SITE_002,D0000C00010,-20C Freezer,EQUIPMENT,CAN,TRUE,-20 degree freezer
survey_02_site_002_d0000c00010,SITE_002,D0000C00010,Sample Shipping,EQUIPMENT,CAN,TRUE,Sample Shipping
survey_02_site_002_d0000c00010,SITE_002,D0000C00010,Drug/Device Storage,EQUIPMENT,CAN,TRUE,Drug/Device Storage
survey_02_site_002_d0000c00010,SITE_002,D0000C00010,Ultrasound,PROCEDURE,CAN,FALSE,Ultrasound
survey_02_site_002_d0000c00010,SITE_002,D0000C00010,On-site Pharmacy,EQUIPMENT,CAN,FALSE,On-site Pharmacy
survey_02_site_002_d0000c00010,SITE_002,D0000C00010,Document Archive,EQUIPMENT,CAN,FALSE,Document Archive
survey_03_site_003_d0000c00010,SITE_003,D0000C00010,12-Lead ECG,PROCEDURE,CAN,TRUE,12 Lead ECG
survey_03_site_003_d0000c00010,SITE_003,D0000C00010,CT Scan,PROCEDURE,CAN,TRUE,CT scan
survey_03_site_003_d0000c00010,SITE_003,D0000C00010,Brain MRI,PROCEDURE,CAN,TRUE,MRI Brain
survey_03_site_003_d0000c00010,SITE_003,D0000C00010,FDG-PET,PROCEDURE,CAN,TRUE,FDG PET
survey_03_site_003_d0000c00010,SITE_003,D0000C00010,Local EGFR Mutation Testing,PROCEDURE,CANNOT,TRUE,Local EGFR Mutation Testing
survey_03_site_003_d0000c00010,SITE_003,D0000C00010,Plasma Sampling,PROCEDURE,CAN,TRUE,Plasma Sampling
survey_03_site_003_d0000c00010,SITE_003,D0000C00010,Centrifuge,EQUIPMENT,CAN,TRUE,Centrifuge
survey_03_site_003_d0000c00010,SITE_003,D0000C00010,-20C Freezer,EQUIPMENT,CAN,TRUE,-20 degree freezer
survey_03_site_003_d0000c00010,SITE_003,D0000C00010,Sample Shipping,EQUIPMENT,CAN,TRUE,Sample Shipping
survey_03_site_003_d0000c00010,SITE_003,D0000C00010,Drug/Device Storage,EQUIPMENT,CAN,TRUE,Drug/Device Storage
survey_03_site_003_d0000c00010,SITE_003,D0000C00010,X-Ray,PROCEDURE,CAN,FALSE,X-Ray
survey_03_site_003_d0000c00010,SITE_003,D0000C00010,Ultrasound,PROCEDURE,CAN,FALSE,Ultrasound
survey_03_site_003_d0000c00010,SITE_003,D0000C00010,PET,PROCEDURE,CAN,FALSE,PET
survey_03_site_003_d0000c00010,SITE_003,D0000C00010,On-site Pharmacy,EQUIPMENT,CAN,FALSE,On-site Pharmacy
survey_03_site_003_d0000c00010,SITE_003,D0000C00010,Document Archive,EQUIPMENT,CAN,FALSE,Document Archive
survey_04_site_004_d0000c00020,SITE_004,D0000C00020,Spirometry,PROCEDURE,CAN,TRUE,Spirometry
survey_04_site_004_d0000c00020,SITE_004,D0000C00020,12-Lead ECG,PROCEDURE,CAN,TRUE,12 Lead ECG
survey_04_site_004_d0000c00020,SITE_004,D0000C00020,Whole Blood Sampling (Ambient),PROCEDURE,CAN,TRUE,Whole Blood Sampling (Ambient)
survey_04_site_004_d0000c00020,SITE_004,D0000C00020,Serum Sampling (Frozen),PROCEDURE,CAN,TRUE,Serum sample (frozen)
survey_04_site_004_d0000c00020,SITE_004,D0000C00020,Centrifuge,EQUIPMENT,CAN,TRUE,Centrifuge
survey_04_site_004_d0000c00020,SITE_004,D0000C00020,-70C Freezer,EQUIPMENT,CANNOT,TRUE,-70°C Freezer
survey_04_site_004_d0000c00020,SITE_004,D0000C00020,eCOA Device,EQUIPMENT,CAN,TRUE,eCOA Device
survey_04_site_004_d0000c00020,SITE_004,D0000C00020,Electronic Data Capture,EQUIPMENT,CAN,TRUE,Electronic data capture system
survey_04_site_004_d0000c00020,SITE_004,D0000C00020,Sample Shipping,EQUIPMENT,CAN,TRUE,Sample Shipping
survey_04_site_004_d0000c00020,SITE_004,D0000C00020,X-Ray,PROCEDURE,CAN,FALSE,X-Ray
survey_04_site_004_d0000c00020,SITE_004,D0000C00020,Urinalysis,PROCEDURE,CAN,FALSE,Urinalysis
survey_04_site_004_d0000c00020,SITE_004,D0000C00020,On-site Pharmacy,EQUIPMENT,CAN,FALSE,On-site Pharmacy
survey_04_site_004_d0000c00020,SITE_004,D0000C00020,Refrigerated Sample Storage,EQUIPMENT,CAN,FALSE,Refrigerated Sample Storage
survey_05_site_005_d0000c00020,SITE_005,D0000C00020,Spirometry,PROCEDURE,CAN,TRUE,Spirometry
survey_05_site_005_d0000c00020,SITE_005,D0000C00020,12-Lead ECG,PROCEDURE,CAN,TRUE,12 Lead ECG
survey_05_site_005_d0000c00020,SITE_005,D0000C00020,Whole Blood Sampling (Ambient),PROCEDURE,CAN,TRUE,Whole Blood Sampling (Ambient)
survey_05_site_005_d0000c00020,SITE_005,D0000C00020,Serum Sampling (Frozen),PROCEDURE,CAN,TRUE,Serum sample (frozen)
survey_05_site_005_d0000c00020,SITE_005,D0000C00020,Centrifuge,EQUIPMENT,CAN,TRUE,Centrifuge
survey_05_site_005_d0000c00020,SITE_005,D0000C00020,-70C Freezer,EQUIPMENT,CANNOT,TRUE,-70°C Freezer
survey_05_site_005_d0000c00020,SITE_005,D0000C00020,eCOA Device,EQUIPMENT,CANNOT,TRUE,eCOA Device
survey_05_site_005_d0000c00020,SITE_005,D0000C00020,Electronic Data Capture,EQUIPMENT,CANNOT,TRUE,Electronic data capture system
survey_05_site_005_d0000c00020,SITE_005,D0000C00020,Sample Shipping,EQUIPMENT,CAN,TRUE,Sample Shipping
