site_id,study_code,patients_seen_per_year,planned_screened,planned_enrolled,competing_studies,startup_weeks
SITE_001,D0000C00010,28,18,11,1,8
SITE_002,D0000C00010,22,14,8,2,6
SITE_003,D0000C00010,16,10,6,2,10
SITE_004,D0000C00020,40,26,17,1,7
SITE_005,D0000C00020,31,20,13,3,9
SITE_006,D0000C00030,25,15,9,2,12
SITE_007,D0000C00030,33,21,14,1,8
SITE_008,D0000C00040,14,9,5,3,11
SITE_009,D0000C00050,45,30,20,2,6
SITE_010,D0000C00060,19,12,7,4,13
SITE_011,D0000C00050,20,14,8,2,9
SITE_012,D0000C00020,48,30,22,1,15
SITE_012,D0000C00030,49,31,21,1,10
SITE_013,D0000C00030,50,27,17,1,10
SITE_014,D0000C00020,18,10,6,0,16
SITE_014,D0000C00040,21,10,6,0,15
SITE_015,D0000C00030,44,23,14,4,14
SITE_016,D0000C00030,19,11,7,2,15
SITE_017,D0000C00040,49,25,15,1,6
SITE_018,D0000C00060,20,14,8,0,6
SITE_019,D0000C00030,33,18,13,0,10
SITE_020,D0000C00060,46,30,17,0,15
SITE_020,D0000C00040,33,22,12,2,13
SITE_021,D0000C00050,29,19,13,3,14
SITE_022,D0000C00030,24,16,9,0,10
SITE_023,D0000C00050,9,6,3,2,13
SITE_024,D0000C00040,31,18,11,3,16
SITE_025,D0000C00030,44,24,14,2,9
SITE_026,D0000C00030,44,30,19,1,16
SITE_027,D0000C00030,13,9,6,0,14
SITE_027,D0000C00050,12,6,3,4,7
SITE_028,D0000C00010,27,19,13,1,6
SITE_029,D0000C00020,35,20,11,4,8
SITE_030,D0000C00010,45,31,19,1,6
SITE_031,D0000C00020,48,27,16,0,12
SITE_032,D0000C00020,36,18,13,0,7
SITE_033,D0000C00050,50,25,16,1,6
SITE_034,D0000C00020,8,4,2,2,9
SITE_035,D0000C00060,46,29,20,4,7
SITE_036,D0000C00010,18,13,8,0,7
SITE_037,D0000C00060,37,23,13,3,13
SITE_038,D0000C00040,33,22,12,4,13
SITE_038,D0000C00060,29,19,10,1,10
SITE_039,D0000C00050,28,15,9,0,16
SITE_040,D0000C00040,35,21,12,4,16
